"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity"
"0xfdb9dd07a9f817e9ac608be01e68a7c66d27b52f7100e8142a1b2b81d5dfff95","4261861","1505122564","9/11/2017 9:36:04 AM","0xaee94794189540305759b21ad6b6d94b0bbd5f91","0xad3c895c3678e77884366cd891b0984acd214775","5928.008"
"0xad7d4fd000aaccc294cbf637a0a336e1228742bb0a7bcd4ff9fe4363ab8a1ca8","4261859","1505122457","9/11/2017 9:34:17 AM","0x175dee6026d69e0a9adaf5e73ed9d7b9765402a8","0xad3c895c3678e77884366cd891b0984acd214775","11776.6999"
"0x9c7affee61453d5b45f378eaa5301a4c311a61c6834728f7070ccd4f400a0079","4261767","1505119738","9/11/2017 8:48:58 AM","0xc25bcbdf113295575754a929ac28a095d58edb4d","0xad3c895c3678e77884366cd891b0984acd214775","96030"
"0xcb62400f7fc1a669984cc0cd5f1efe2b9a71295c53a906f06d7f27ce1e1924d7","4261677","1505117331","9/11/2017 8:08:51 AM","0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be","0xad3c895c3678e77884366cd891b0984acd214775","5998"
"0xcb7ecf0a7fe2386dceb64f27b8a7db148855d5210f71b1b3f763c32516d5c5f9","4261624","1505116252","9/11/2017 7:50:52 AM","0x1717b8648301e9d2c957fb36eb058367ad3932bf","0xad3c895c3678e77884366cd891b0984acd214775","11177.07528"
"0x776abe7b818bdb1b4df72c347509e4b010de8f2ee521029616d19371f0314dff","4261574","1505115144","9/11/2017 7:32:24 AM","0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a","0xad3c895c3678e77884366cd891b0984acd214775","11331.07"
"0xe23b3a9af301b799dd568707f81e5b442050d8134caa65900450b9cdddae1713","4261512","1505113738","9/11/2017 7:08:58 AM","0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be","0xad3c895c3678e77884366cd891b0984acd214775","8807.88"
"0x69106a1c40b03d3504b2d774c760eb5910f924896883320acbf135d820d6766c","4261461","1505112471","9/11/2017 6:47:51 AM","0x940430c87ad4beaa6e4e0e8e112a34c6a02bb47f","0xad3c895c3678e77884366cd891b0984acd214775","8550"
"0xc6a324832185aa23f3e7d0ccb1caeac0736d89bc6c572b74f7349b38402467b5","4261423","1505111323","9/11/2017 6:28:43 AM","0x38aa78ac8927f1f9e25fa8b9819ab6896ebb060f","0xad3c895c3678e77884366cd891b0984acd214775","17097"
"0x23e9456d37b7d52fc511a301054aede6b1776a77348405831e483fe3a39322c1","4261390","1505110730","9/11/2017 6:18:50 AM","0xb05d8cd7543c14d5e670c9b68a368f02222be3b2","0xad3c895c3678e77884366cd891b0984acd214775","140464.24"
"0xbc98fab8b4d5d057e07c3f6e9abc2140a4dda47b2267133df3986267fde41960","4261357","1505109701","9/11/2017 6:01:41 AM","0xb2a19e2b95477a91601d94f0716b49d6a00dc697","0xad3c895c3678e77884366cd891b0984acd214775","121740"
